dataset,deal_quality_quartile,time_bin,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
heddaya,Q2,4,0.08798608789407643,0.006679037568917197,0.002136487844267516,0.012189372589171975,0.1329357849401274,0.007429854117261147,0.0449976732955414,0.046188029769299366,0.020426381408853504,0.009007633893184713,0.030311356022292995,0.006548723923312102,0.0019359080388535032,0.010021879094203823,0.004939350863566879,0.006064137923312102,0.0007532166603184714,0.013669399108025476,0.02419632849987261,0.00808313104401274,0.02569330511210191,0.0010851319480063694,0.01818112609745223,0.0021575379385987263,0.024394232534203822,0.01028442156267516,0.006492513941082803
heddaya,Q2,5,0.062155802626621626,0.001855336923310811,0.0021229492747297297,0.011433021108783784,0.13952592344662162,0.0044995954674324325,0.051792086129391894,0.039830297753378374,0.012511660154797297,0.016307771887770273,0.055345115916891896,0.0016849080527027028,0.0009051223138513513,0.01990421457466216,0.007710412214797299,0.020769409600405405,0.0004830192391891892,0.010358456177500001,0.006954142557837837,0.0032843285096891893,0.023485916829054054,0.00094413883825,0.018024781375675678,0.0014312319975,0.005644976165236487,0.006865000485608107,0.003745691568378378
heddaya,Q2,6,0.058649704481103446,0.0016971400371034483,0.0020686746473103446,0.008856129409655172,0.14028390136000002,0.004970148477724138,0.04844257834275862,0.051718228712689655,0.02300124324889655,0.01316996803462069,0.028974881273103447,0.0016367863974482758,0.0012705608919310345,0.00656405343137931,0.002398722778413793,0.01845220470572414,0.0006385434968965517,0.010799910244965518,0.026746544919034484,0.002680820418965517,0.03924046573517241,0.0009007749340344827,0.021407006157931036,0.0012864528308965516,0.016492322960206897,0.009705649040206897,0.002581064421241379
heddaya,Q2,7,0.04874115244213837,0.0017675966872955976,0.0021322992789937108,0.008907634123899371,0.1209280433446541,0.007188502371698113,0.03505899675566038,0.04757724312320755,0.01732119739125786,0.015538639886918238,0.046523651721383646,0.0016365530972327045,0.001134296615534591,0.00691254654018868,0.002042183219811321,0.014115722813584905,0.0006943409805031447,0.01033584003893082,0.021408459226477987,0.004043648460314466,0.021800297934591196,0.0007393467327106918,0.017062680849685534,0.0015179004479245282,0.01981865893226415,0.014220952081509435,0.008405015563396227
heddaya,Q2,8,0.041555697205845066,0.0017488212571830986,0.0025029808828169013,0.010767383264084508,0.10281036724084507,0.009050198974014085,0.04644379193591549,0.03857925261084507,0.017131952253028167,0.015345206414788731,0.04810610658492957,0.002368465304225352,0.0013387292090845072,0.006384206032676056,0.0015061872109859156,0.00221605632028169,0.0006401455623943663,0.008586467850915491,0.029098606532746478,0.0009850890523943662,0.03376203498732395,0.0006616977653450704,0.0156411906443662,0.0012611372115492957,0.02312854279115493,0.013177818345704225,0.0020175122602816902
heddaya,Q2,9,0.08454163238352273,0.001752405825,0.0018344983929545456,0.008577564397727272,0.21448988888011364,0.014234892250568182,0.028187267413011363,0.041359354666647724,0.018964310139943184,0.009281948371534092,0.03489812685795454,0.0017322022058522727,0.0009129443709090909,0.007267517294715909,0.005882623687329545,0.014210226973295454,0.0005194430664772728,0.012775285179261365,0.015604040947045456,0.001245942109431818,0.03319599478011364,0.0012328535755625,0.016256917989772728,0.002185235939659091,0.012855449130340908,0.0055652343578409084,0.002044127304602273
heddaya,Q3,0,0.09404888791981818,0.002230470553818182,0.0020637403072121213,0.007608324350303031,0.15302030546969697,0.009651772969030303,0.043513569669515154,0.07518996452206061,0.014125435462666666,0.003727765769212121,0.02061701453212121,0.0013871806271515152,0.0008022523788484849,0.03128455914206061,0.0013415189227878788,0.023125336374606058,0.0004626420251515152,0.01630011310860606,0.00920771480169697,0.0009319415323939395,0.010285963851515152,0.001220316380509091,0.020369445507878788,0.001936926624121212,0.0032680208210303027,0.002425556937090909,0.005947661977333334
heddaya,Q3,1,0.06676971796780821,0.005927216778356164,0.0019048443978082192,0.00924718912260274,0.13811256400547944,0.006744258701643835,0.052348399545205475,0.07559168071445205,0.02358933118541096,0.007943138869520548,0.039042245093150685,0.0014846978568493151,0.0010313864682876712,0.021675376228082195,0.0042868034436301375,0.008866932009589042,0.0005326090231506849,0.01332260311417808,0.02035293729410959,0.006062014772876713,0.02160866700410959,0.0007864416236301369,0.023353011600684932,0.0011862369587671232,0.015165771639041098,0.00782017744458904,0.012122476491712329
heddaya,Q3,2,0.03211184418286714,0.0016637622817482517,0.002014036044755245,0.01009509825944056,0.15481257882027974,0.00585933297986014,0.0388214460958042,0.039654689370979025,0.02362297395874126,0.02086748222937063,0.06386519802097902,0.0016390673144055946,0.0009914065151048952,0.01123262898923077,0.0012480894144055944,0.02249642445755245,0.0005612876236363636,0.005407278044125874,0.030286281052447555,0.0008198372570629371,0.03511259707342657,0.0007302809464895105,0.015959069316083915,0.001396451082937063,0.015237272404125875,0.00975226091818182,0.00573735942027972
heddaya,Q3,3,0.0643107937013245,0.008179795508675498,0.002538398245695364,0.010778312647019866,0.12525042831125827,0.003720368789536424,0.05938732334635762,0.044626853409337745,0.013885940822516556,0.010146604149536423,0.0637917929497351,0.0018128370141721852,0.0015605017557615895,0.01405754151668874,0.007362327138874172,0.024495170837880793,0.0007016481554304636,0.00555160180629139,0.015632160436821193,0.0015533773859933776,0.03501071086622517,0.0009493389890463576,0.02921418255165563,0.001182256879205298,0.026478146612980133,0.01255410362178808,0.017654651647019865
