emotion,time_bin,relative_time_mean,gap_role_a_minus_role_b,ci_low,ci_high,role_a,role_b,n_turns,n_conversations
gratitude,7,0.7522029356445658,-0.02027193750483871,-0.051264319746233876,0.006639224145170966,buyer,seller,249,48
gratitude,8,0.8516132684778774,-0.011543050971462878,-0.04388617201423677,0.01935092384831355,buyer,seller,238,48
gratitude,9,0.9549303574030135,-0.06000405346195284,-0.1373702650697012,0.01802994683500001,buyer,seller,267,48
optimism,0,0.0462097882742801,0.022209994447483346,-0.017161192400308445,0.0613521057730811,buyer,seller,271,48
optimism,1,0.15290496267200998,0.02609199273228292,0.004067006422263655,0.05252999151444152,buyer,seller,239,48
optimism,2,0.2518578972201775,0.008353688968699185,-0.008757004206285569,0.02680891937882622,buyer,seller,243,48
optimism,3,0.35187663120173335,-0.005874106563325765,-0.034514381527732535,0.023932409985172834,buyer,seller,245,48
optimism,4,0.4535486683926477,-0.002994537902236208,-0.02882946166462835,0.021935645165587395,buyer,seller,252,48
optimism,5,0.5542856823114648,0.02012808730974576,-0.002026414416394775,0.04324641123377469,buyer,seller,238,48
optimism,6,0.6520236483578227,0.011450009340536735,-0.022106385334685716,0.0467056456318644,buyer,seller,238,48
optimism,7,0.7522029356445658,-0.008959209480645165,-0.0290987856422,0.010954792802651632,buyer,seller,249,48
optimism,8,0.8516132684778774,0.0011102175098537947,-0.025832890355002823,0.0282108778893127,buyer,seller,238,48
optimism,9,0.9549303574030135,-0.0011050810419191912,-0.02660537067512204,0.02668391169035774,buyer,seller,267,48
desire,0,0.0462097882742801,0.03088184712206572,0.009576638120137294,0.05198456990873185,buyer,seller,271,48
desire,1,0.15290496267200998,0.006565144855322124,-0.015656997625761556,0.02709231093671042,buyer,seller,239,48
desire,2,0.2518578972201775,0.003127984495528459,-0.014067374127977641,0.022268261218348583,buyer,seller,243,48
desire,3,0.35187663120173335,-0.009929427954490859,-0.02215345209849526,0.001468616505079739,buyer,seller,245,48
desire,4,0.4535486683926477,0.005716462775622041,-0.013626824501552755,0.02566950108837007,buyer,seller,252,48
desire,5,0.5542856823114648,0.030399407109745764,0.00860102046085452,0.055599869854975274,buyer,seller,238,48
desire,6,0.6520236483578227,0.0059765935905367225,-0.016567011185296597,0.027582588420282477,buyer,seller,238,48
desire,7,0.7522029356445658,0.000978477596064519,-0.021325565077040334,0.022525340976693547,buyer,seller,249,48
desire,8,0.8516132684778774,0.011238909194320836,0.00013746768637423225,0.026659907850542133,buyer,seller,238,48
desire,9,0.9549303574030135,0.0077725911717171706,-0.004612698684048825,0.02209344273015993,buyer,seller,267,48
