outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,curiosity_buyer_minus_seller_mean,48,0.0263,0.8592,0.0406,0.7839,0.0263,dealerships
outcome_binary,realization_max,48,0.0261,0.8604,0.0135,0.9272,0.0261,dealerships
outcome_binary,embarrassment_buyer_minus_seller_mean,48,-0.0251,0.8658,-0.3236,0.0249,0.0251,dealerships
outcome_binary,relief_std,48,-0.0239,0.8718,-0.0045,0.9757,0.0239,dealerships
outcome_binary,confusion_mean,48,-0.0214,0.8852,-0.0045,0.9757,0.0214,dealerships
outcome_binary,desire_early_mean,48,0.0208,0.8882,0.0617,0.6769,0.0208,dealerships
outcome_binary,relief_buyer_minus_seller_mean,48,-0.0207,0.8887,0.0226,0.8789,0.0207,dealerships
outcome_binary,surprise_first,48,0.0207,0.8889,0.0316,0.8311,0.0207,dealerships
outcome_binary,grief_late_mean,48,0.0181,0.9028,-0.0135,0.9272,0.0181,dealerships
outcome_binary,joy_late_minus_early,48,-0.018,0.9034,0.0105,0.9433,0.018,dealerships
outcome_binary,relief_mean,48,0.0173,0.907,0.0828,0.5759,0.0173,dealerships
outcome_binary,curiosity_late_minus_early,48,-0.0171,0.9083,-0.0135,0.9272,0.0171,dealerships
outcome_binary,excitement_early_mean,48,-0.0164,0.9117,0.2243,0.1254,0.0164,dealerships
outcome_binary,optimism_late_minus_early,48,-0.0161,0.9134,-0.0316,0.8311,0.0161,dealerships
outcome_binary,pride_early_mean,48,-0.0158,0.9152,0.0015,0.9919,0.0158,dealerships
outcome_binary,nervousness_late_minus_early,48,-0.0157,0.9156,-0.0497,0.7374,0.0157,dealerships
outcome_binary,desire_late_minus_early,48,0.0154,0.9172,-0.0045,0.9757,0.0154,dealerships
outcome_binary,desire_mean,48,-0.0132,0.9291,0.1039,0.4824,0.0132,dealerships
outcome_binary,embarrassment_late_mean,48,-0.0124,0.9335,0.0617,0.6769,0.0124,dealerships
outcome_binary,annoyance_early_mean,48,-0.0107,0.9425,-0.0045,0.9757,0.0107,dealerships
outcome_binary,disapproval_buyer_minus_seller_mean,48,-0.0099,0.9467,-0.0015,0.9919,0.0099,dealerships
outcome_binary,surprise_buyer_minus_seller_mean,48,0.0099,0.9469,-0.0045,0.9757,0.0099,dealerships
outcome_binary,optimism_max,48,-0.0095,0.9491,-0.0105,0.9433,0.0095,dealerships
outcome_binary,anger_late_minus_early,48,-0.0081,0.9562,-0.0617,0.6769,0.0081,dealerships
outcome_binary,pride_last,48,0.0062,0.9666,-0.2032,0.166,0.0062,dealerships
outcome_binary,anger_mean,48,0.0061,0.9671,-0.0436,0.7683,0.0061,dealerships
outcome_binary,surprise_late_minus_early,48,0.0056,0.97,-0.0166,0.9111,0.0056,dealerships
