outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,admiration_late_minus_early,405,0.1522,0.0021,0.1831,0.0002,0.1522,a2a
outcome_binary,fear_max,405,-0.1521,0.0021,-0.3044,0.0,0.1521,a2a
outcome_binary,gratitude_delta,405,-0.1512,0.0023,-0.2477,0.0,0.1512,a2a
outcome_binary,gratitude_std,405,-0.1511,0.0023,-0.1731,0.0005,0.1511,a2a
outcome_binary,fear_std,405,-0.1496,0.0025,-0.2584,0.0,0.1496,a2a
outcome_binary,admiration_last,405,0.1481,0.0028,0.158,0.0014,0.1481,a2a
outcome_binary,realization_first,405,-0.1467,0.0031,-0.1156,0.02,0.1467,a2a
outcome_binary,gratitude_max,405,-0.1454,0.0034,-0.1981,0.0001,0.1454,a2a
outcome_binary,confusion_early_mean,405,-0.1444,0.0036,-0.1363,0.006,0.1444,a2a
outcome_binary,excitement_min,405,0.144,0.0037,0.5472,0.0,0.144,a2a
outcome_binary,remorse_first,405,-0.1434,0.0038,-0.1721,0.0005,0.1434,a2a
outcome_binary,amusement_mean,405,0.1407,0.0046,0.1596,0.0013,0.1407,a2a
outcome_binary,caring_min,405,0.1405,0.0046,0.187,0.0002,0.1405,a2a
outcome_binary,surprise_late_minus_early,405,0.1378,0.0055,0.0946,0.0573,0.1378,a2a
outcome_binary,excitement_early_mean,405,0.1375,0.0056,0.1864,0.0002,0.1375,a2a
outcome_binary,surprise_first,405,-0.137,0.0057,-0.1106,0.026,0.137,a2a
outcome_binary,surprise_delta,405,0.1355,0.0063,0.1214,0.0145,0.1355,a2a
outcome_binary,sadness_first,405,-0.1337,0.0071,-0.1345,0.0067,0.1337,a2a
outcome_binary,caring_mean,405,-0.1323,0.0077,-0.0372,0.4554,0.1323,a2a
outcome_binary,gratitude_buyer_minus_seller_mean,399,-0.1314,0.0086,-0.1312,0.0087,0.1314,a2a
outcome_binary,gratitude_early_mean,405,-0.1311,0.0082,-0.1125,0.0236,0.1311,a2a
outcome_binary,surprise_early_mean,405,-0.1301,0.0087,-0.0819,0.0999,0.1301,a2a
outcome_binary,excitement_max,405,0.1299,0.0089,0.1703,0.0006,0.1299,a2a
outcome_binary,surprise_max,405,-0.1298,0.0089,-0.096,0.0536,0.1298,a2a
outcome_binary,approval_early_mean,405,0.1294,0.0091,0.1472,0.003,0.1294,a2a
outcome_binary,fear_buyer_minus_seller_mean,399,-0.1282,0.0103,-0.0369,0.4621,0.1282,a2a
outcome_binary,joy_first,405,-0.124,0.0125,-0.0882,0.0762,0.124,a2a
outcome_binary,joy_early_mean,405,0.1204,0.0153,0.1486,0.0027,0.1204,a2a
outcome_binary,nervousness_first,405,-0.1203,0.0154,-0.1328,0.0075,0.1203,a2a
outcome_binary,surprise_std,405,-0.1195,0.0161,-0.083,0.0953,0.1195,a2a
outcome_binary,fear_first,405,-0.1186,0.0169,-0.1473,0.003,0.1186,a2a
outcome_binary,fear_early_mean,405,-0.1161,0.0194,-0.0856,0.0853,0.1161,a2a
outcome_binary,desire_buyer_minus_seller_mean,399,0.1151,0.0215,0.1413,0.0047,0.1151,a2a
outcome_binary,pride_delta,405,0.1139,0.0219,0.0468,0.3475,0.1139,a2a
outcome_binary,amusement_buyer_minus_seller_mean,399,0.1096,0.0287,0.1114,0.0261,0.1096,a2a
outcome_binary,excitement_std,405,0.1095,0.0275,0.1555,0.0017,0.1095,a2a
outcome_binary,surprise_mean,405,-0.1092,0.028,-0.0427,0.391,0.1092,a2a
outcome_binary,disappointment_first,405,-0.1084,0.0292,-0.1268,0.0107,0.1084,a2a
outcome_binary,relief_min,405,-0.1082,0.0295,-0.0731,0.1422,0.1082,a2a
outcome_binary,nervousness_buyer_minus_seller_mean,399,-0.1079,0.0312,-0.0196,0.6959,0.1079,a2a
outcome_binary,confusion_mean,405,-0.1075,0.0305,-0.0422,0.3968,0.1075,a2a
outcome_binary,confusion_delta,405,0.105,0.0347,0.1519,0.0022,0.105,a2a
outcome_binary,amusement_first,405,-0.1046,0.0353,-0.1163,0.0192,0.1046,a2a
outcome_binary,admiration_buyer_minus_seller_mean,399,0.1036,0.0387,0.0982,0.0499,0.1036,a2a
outcome_binary,confusion_late_minus_early,405,0.1035,0.0374,0.2091,0.0,0.1035,a2a
outcome_binary,relief_std,405,0.1029,0.0385,0.0497,0.3179,0.1029,a2a
outcome_binary,optimism_first,405,-0.1026,0.039,-0.0961,0.0533,0.1026,a2a
outcome_binary,excitement_late_minus_early,405,0.1022,0.0399,0.0834,0.0938,0.1022,a2a
outcome_binary,nervousness_min,405,-0.1019,0.0405,-0.0672,0.1768,0.1019,a2a
outcome_binary,curiosity_first,405,0.1016,0.0409,0.097,0.051,0.1016,a2a
outcome_binary,pride_late_mean,405,0.1014,0.0413,0.0647,0.1936,0.1014,a2a
outcome_binary,pride_last,405,0.0991,0.0463,-0.0147,0.7681,0.0991,a2a
outcome_binary,nervousness_early_mean,405,-0.0981,0.0484,-0.0155,0.7551,0.0981,a2a
outcome_binary,confusion_buyer_minus_seller_mean,399,0.0955,0.0565,0.1045,0.0369,0.0955,a2a
outcome_binary,admiration_min,405,0.095,0.056,0.1815,0.0002,0.095,a2a
outcome_binary,anger_first,405,-0.094,0.0587,-0.101,0.0422,0.094,a2a
outcome_binary,relief_delta,405,0.0938,0.0593,-0.0144,0.773,0.0938,a2a
outcome_binary,amusement_max,405,0.0932,0.0611,0.0394,0.4288,0.0932,a2a
outcome_binary,pride_first,405,-0.0925,0.063,-0.1014,0.0415,0.0925,a2a
outcome_binary,optimism_min,405,0.0913,0.0663,0.128,0.0099,0.0913,a2a
outcome_binary,admiration_delta,405,0.0911,0.067,0.1037,0.037,0.0911,a2a
outcome_binary,remorse_last,405,-0.0911,0.0671,-0.7478,0.0,0.0911,a2a
outcome_binary,surprise_min,405,-0.0908,0.0679,-0.0746,0.134,0.0908,a2a
outcome_binary,excitement_buyer_minus_seller_mean,399,0.0907,0.0702,0.1209,0.0157,0.0907,a2a
outcome_binary,remorse_mean,405,-0.0905,0.0687,-0.5189,0.0,0.0905,a2a
outcome_binary,remorse_buyer_minus_seller_mean,399,-0.0889,0.076,-0.2708,0.0,0.0889,a2a
outcome_binary,grief_buyer_minus_seller_mean,399,-0.0868,0.0835,-0.1429,0.0042,0.0868,a2a
outcome_binary,confusion_last,405,0.0862,0.083,-0.1187,0.0169,0.0862,a2a
outcome_binary,desire_mean,405,0.0827,0.0966,0.1463,0.0032,0.0827,a2a
outcome_binary,disgust_first,405,-0.0822,0.0985,-0.0619,0.2137,0.0822,a2a
outcome_binary,confusion_min,405,-0.0807,0.1048,-0.2384,0.0,0.0807,a2a
outcome_binary,anger_buyer_minus_seller_mean,399,0.0791,0.1144,0.0319,0.5246,0.0791,a2a
outcome_binary,remorse_delta,405,-0.0781,0.1167,-0.601,0.0,0.0781,a2a
outcome_binary,disapproval_buyer_minus_seller_mean,399,-0.0776,0.1216,-0.1822,0.0003,0.0776,a2a
outcome_binary,sadness_buyer_minus_seller_mean,399,-0.0768,0.1258,-0.243,0.0,0.0768,a2a
outcome_binary,optimism_last,405,-0.0741,0.1363,-0.1054,0.0339,0.0741,a2a
outcome_binary,relief_max,405,0.0736,0.1392,0.0425,0.3937,0.0736,a2a
outcome_binary,joy_buyer_minus_seller_mean,399,0.0695,0.1661,0.0714,0.1547,0.0695,a2a
outcome_binary,surprise_late_mean,405,0.0691,0.1654,0.0848,0.0882,0.0691,a2a
outcome_binary,amusement_std,405,0.0684,0.1698,0.0214,0.6678,0.0684,a2a
outcome_binary,confusion_first,405,-0.0684,0.1695,-0.0717,0.15,0.0684,a2a
