conversation_id,turn,outcome,z_1,z_2,z_3,z_4
129,8,sale,-0.268637,1.363905,0.407139,0.303641
129,9,sale,-0.183604,1.333264,0.869593,-0.259171
129,10,sale,-0.303457,1.700262,1.036029,-0.392492
129,11,sale,-0.496436,1.893445,0.538429,0.080665
129,12,sale,-0.575139,1.696299,-0.256233,0.547157
129,13,sale,-0.60803,1.402152,-1.173284,-0.131377
129,14,sale,-0.775397,1.011708,-1.779662,-1.416767
129,15,sale,-1.790773,0.932545,-1.430476,-1.612819
129,16,sale,-2.781364,1.372356,-0.653728,-0.166299
129,17,sale,-2.962494,1.751544,-0.179967,1.185873
129,18,sale,-2.406774,1.924624,-0.179856,1.463258
131,0,sale,-0.264063,0.590138,-0.773405,1.296219
131,1,sale,-0.381835,1.053457,-0.691357,1.355818
131,2,sale,-0.339357,1.379779,-0.009064,0.651786
131,3,sale,-0.271811,1.356964,0.250104,0.310669
131,4,sale,-0.282417,1.056964,-0.309801,0.847606
131,5,sale,-0.299477,0.708779,-0.893769,1.386932
131,6,sale,-0.294492,0.564842,-0.926423,1.346175
131,7,sale,-0.232659,0.411601,-0.597519,0.860039
131,8,sale,-0.254214,0.317085,-0.256134,0.388025
131,9,sale,-0.647822,0.600049,-0.184906,0.522835
131,10,sale,-1.714176,0.552228,-0.030411,0.607803
131,11,sale,-2.435391,0.196433,0.323703,0.304057
131,12,sale,-2.294028,0.056095,0.830388,-0.266956
131,13,sale,-1.44149,0.321578,1.063807,-0.592584
131,14,sale,-0.504073,0.727368,0.90314,-0.467502
131,15,sale,-0.305009,0.53038,0.515552,-0.211884
131,16,sale,-0.537293,0.091719,0.201389,-0.038232
131,17,sale,-1.677187,-0.572612,0.386291,-0.281311
131,18,sale,-3.86991,-1.525343,1.029593,-0.844615
131,19,sale,-5.192221,-1.82158,1.317698,-0.883861
131,20,sale,-5.35149,-1.772611,0.973187,-0.412721
131,21,sale,-4.345565,-1.621235,0.412397,0.003031
131,22,sale,-2.855197,-1.3446,0.168347,-0.006257
131,23,sale,-1.86998,-1.0585,0.189567,-0.168995
131,24,sale,-1.754359,-1.011308,0.098561,-0.106588
131,25,sale,-2.307126,-1.155108,-0.214299,0.213278
131,26,sale,-2.391689,-1.066844,-0.827587,0.538578
131,27,sale,-1.941443,-0.945704,-1.98404,-0.246906
131,28,sale,-1.931324,-1.139284,-2.501878,-1.471342
131,29,sale,-2.358479,-1.462256,-2.057952,-2.077568
131,30,sale,-2.233584,-1.291403,-1.19716,-1.310826
131,31,sale,-1.484253,-0.615687,-0.687605,0.360856
131,32,sale,-0.643096,0.088162,-1.129807,1.442247
131,33,sale,-0.494758,0.390421,-1.555292,2.098849
131,34,sale,-0.484129,0.451398,-1.663271,2.15469
131,35,sale,-0.432985,0.345781,-1.404323,1.690539
131,36,sale,-0.327593,0.21731,-1.007384,1.156931
131,37,sale,-0.279142,0.196503,-0.880668,1.086996
131,38,sale,-0.380576,0.238759,-1.058667,1.423571
131,39,sale,-0.644827,0.080365,-0.983731,1.342621
131,40,sale,-1.526843,-0.520437,-0.496132,0.70347
131,41,sale,-2.255053,-0.979965,-0.123909,0.218558
131,42,sale,-2.429352,-0.896945,-0.514289,0.769259
131,43,sale,-2.105978,-0.469665,-1.306773,1.864867
131,44,sale,-2.19644,-0.418984,-1.679208,2.345891
131,45,sale,-2.652944,-0.838979,-1.237619,1.722782
131,46,sale,-2.627182,-1.100555,-0.52751,0.813333
131,47,sale,-2.704761,-0.910067,-0.50991,0.919005
131,48,sale,-2.750288,-0.351627,-0.189211,0.864137
131,49,sale,-2.762638,0.590343,0.116586,0.987584
131,50,sale,-2.262894,1.238997,0.337159,0.939735
131,51,sale,-2.10517,0.755788,0.431038,0.534499
131,52,sale,-2.377218,-0.38755,0.339232,0.09528
131,53,sale,-2.159109,-0.948411,0.242225,-0.122544
131,54,sale,-1.471662,-0.575567,-0.29041,0.509893
131,55,sale,-0.712951,-0.001219,-0.850782,1.212371
131,56,sale,-0.723891,-0.00592,-0.866228,1.207627
131,57,sale,-1.486566,-0.599163,-0.292046,0.457728
131,58,sale,-2.130172,-1.038683,0.377722,-0.360428
131,59,sale,-2.203571,-0.732484,0.871717,-0.730823
131,60,sale,-1.754364,-0.122281,1.123664,-0.801365
131,61,sale,-1.753742,-0.120045,1.122801,-0.806572
131,62,sale,-2.192658,-0.73214,0.905069,-0.777215
131,63,sale,-2.085629,-1.056909,0.528283,-0.537306
131,64,sale,-1.35518,-0.688274,0.13647,-0.083346
131,65,sale,-0.601037,-0.002039,-0.497317,0.74099
131,66,sale,-0.717213,0.414613,-0.948522,1.312638
131,67,sale,-0.961935,0.881514,-0.729291,1.189744
131,68,sale,-0.899844,1.240816,0.057198,0.453109
131,69,sale,-0.55149,1.490623,0.953659,-0.358256
131,70,sale,-0.245754,1.455771,1.217701,-0.58616
131,71,sale,-0.123853,1.07225,0.953213,-0.486781
131,72,sale,-0.053198,0.609587,0.554237,-0.289105
131,73,sale,-0.010952,0.221323,0.213121,-0.113778
133,0,no sale,-0.35658,1.462471,-0.001602,0.895627
133,1,no sale,-0.570351,2.393756,0.42983,0.865287
133,2,no sale,-0.513038,2.823075,1.326382,0.074813
133,3,no sale,-0.454588,2.703517,1.349827,-0.00298
133,4,no sale,-0.410747,2.002304,0.475397,0.627062
133,5,no sale,-0.322127,1.216422,-0.201979,0.923937
133,6,no sale,-0.188833,0.738281,-0.134374,0.544725
133,7,no sale,-0.126121,0.871712,0.470394,-0.105333
133,8,no sale,-0.15296,1.215204,0.901293,-0.415487
149,0,no sale,-0.073198,0.419691,0.235459,-0.035166
149,1,no sale,-0.060208,0.630229,0.533967,-0.252856
149,2,no sale,-0.089441,0.956665,0.853559,-0.440729
149,3,no sale,-0.088903,1.004557,0.903744,-0.472788
149,4,no sale,-0.064833,0.851656,0.755545,-0.392998
149,5,no sale,-0.127821,1.174118,0.929922,-0.48993
149,6,no sale,-0.180906,1.408929,1.021795,-0.536287
149,7,no sale,-0.252297,1.792439,1.243938,-0.651167
149,8,no sale,-0.266051,1.868541,1.258323,-0.622203
149,9,no sale,-0.260135,1.773479,1.07879,-0.397354
149,10,no sale,-0.318213,1.538081,0.335277,0.370537
149,11,no sale,-0.419795,1.388486,-0.459638,1.228294
149,12,no sale,-0.56964,1.692082,-0.746374,1.747463
149,13,no sale,-0.665592,2.466629,-0.049225,1.41228
149,14,no sale,-0.632605,3.13976,1.16336,0.438163
149,15,no sale,-0.507285,3.45591,2.210836,-0.571312
149,16,no sale,-0.395516,3.479536,2.805598,-1.261694
149,17,no sale,-0.403373,3.52455,2.940792,-1.408872
149,18,no sale,-0.438738,3.473053,2.830634,-1.353458
152,0,sale,-0.065626,0.264371,0.051055,0.093095
152,1,sale,-0.018437,0.097034,0.02853,0.027439
152,2,sale,-0.01701,0.101777,0.043049,0.012969
152,3,sale,-0.064189,0.281928,0.111867,0.021895
152,4,sale,-0.150947,0.752617,0.387613,-0.051513
152,5,sale,-0.219062,1.20738,0.622247,-0.056386
152,6,sale,-0.297662,1.49238,0.386069,0.414452
152,7,sale,-0.396715,1.899024,0.20333,0.8753
152,8,sale,-0.582015,2.623764,0.206381,1.205748
152,9,sale,-0.671775,3.07657,0.393845,1.10998
152,10,sale,-0.602567,2.915756,0.269133,0.674861
152,11,sale,-0.590384,2.381354,-1.349652,-0.123763
152,12,sale,-0.818146,2.269598,-3.63171,-0.936105
152,13,sale,-1.157429,2.720986,-5.005439,-1.118295
152,14,sale,-1.199682,3.164869,-3.853178,-0.60441
152,15,sale,-0.87556,3.046156,-1.125715,0.158369
152,16,sale,-0.413739,2.018178,0.379357,0.074052
152,17,sale,-0.128388,1.012362,0.540585,-0.169129
152,18,sale,-0.07292,0.820409,0.612359,-0.286562
152,19,sale,-0.118613,1.069871,0.771449,-0.443924
152,20,sale,-0.135976,1.061536,0.573384,-0.536302
152,21,sale,-0.097471,0.614399,-0.333998,-0.924556
152,22,sale,-0.043789,0.184511,-1.152375,-1.345285
152,23,sale,-0.08836,0.344551,-1.50203,-1.996593
152,24,sale,-0.157512,0.719595,-1.280719,-2.152789
152,25,sale,-0.176907,0.863415,-0.856773,-1.712877
152,26,sale,-0.15706,0.581083,-1.058457,-1.460894
152,27,sale,-0.146647,0.330663,-1.30656,-1.307308
152,28,sale,-0.268958,0.62697,-1.210585,-1.438466
152,29,sale,-0.477578,0.99851,-1.452573,-1.855362
152,30,sale,-0.70305,1.434038,-1.88611,-1.791928
152,31,sale,-0.826253,1.635428,-1.98533,-1.251612
152,32,sale,-0.948801,1.675126,-1.077821,-0.384524
152,33,sale,-1.619592,1.282287,0.0626,0.439195
152,34,sale,-2.398192,0.361284,0.097081,0.605979
152,35,sale,-2.307179,-0.171726,-0.2484,0.828393
152,36,sale,-1.382819,-0.069231,-0.719523,1.176499
152,37,sale,-0.586271,0.390239,-0.904569,1.323763
152,38,sale,-0.387999,0.940555,-0.733565,0.886756
152,39,sale,-0.408007,1.509969,-0.9946,-0.722957
152,40,sale,-0.550716,1.852301,-1.822526,-1.567228
152,41,sale,-0.822769,1.858954,-3.284672,-0.984379
152,42,sale,-0.991496,1.572213,-3.809329,0.127403
152,43,sale,-1.119191,1.602833,-2.888847,0.169117
152,44,sale,-1.16404,2.032065,-1.309197,-0.914686
152,45,sale,-1.125776,2.7362,0.111681,-0.996051
152,46,sale,-1.0578,3.290049,0.581118,-0.361275
154,0,sale,-0.306031,1.132698,-0.213401,0.950396
154,1,sale,-0.414635,1.514113,-0.239424,1.173016
154,2,sale,-0.354406,1.29079,-0.209987,0.967528
154,3,sale,-0.205923,0.745688,-0.221238,0.489627
154,4,sale,-0.092615,0.206071,-0.458483,-0.30162
154,5,sale,-0.12828,0.147597,-0.703081,-0.926145
154,6,sale,-0.296163,0.619016,-0.218338,-1.194551
154,7,sale,-0.749183,1.275954,0.948025,-1.176225
154,8,sale,-2.099774,1.005532,1.831481,-1.216745
154,9,sale,-3.353565,-0.002001,1.765021,-1.239764
154,10,sale,-4.269379,-1.264603,1.235316,-1.134228
154,11,sale,-4.004716,-1.583333,0.833955,-0.977729
154,12,sale,-2.729118,-0.689671,0.950232,-0.890025
154,13,sale,-1.588822,0.308911,1.245425,-0.852731
154,14,sale,-0.549578,1.25986,1.463591,-0.821596
154,15,sale,-0.25502,1.549097,1.497626,-0.791856
154,16,sale,-0.174996,1.616081,1.436862,-0.713498
154,17,sale,-0.16868,1.566431,1.200477,-0.472768
154,18,sale,-0.232603,1.332342,0.444119,0.276881
154,19,sale,-0.293495,1.118887,-0.213244,0.935046
154,20,sale,-0.314808,1.194783,-0.139754,0.891675
154,21,sale,-0.325572,1.698764,0.770911,0.095492
154,22,sale,-0.342565,1.932197,1.500368,-0.640568
154,23,sale,-0.579437,1.500823,1.317087,-0.699532
154,24,sale,-1.459335,0.279202,0.844309,-0.618313
154,25,sale,-2.136917,-0.665258,0.621176,-0.634717
