conversation_id,sale,last_buyer,last_seller,price_gap,initial_gap,buyer_movement,seller_movement,n_offers,n_allowances,midpoint,z_1_mean,z_1_std,z_1_last,z_1_slope,z_1_diverge,z_2_mean,z_2_std,z_2_last,z_2_slope,z_2_diverge,z_3_mean,z_3_std,z_3_last,z_3_slope,z_3_diverge,z_4_mean,z_4_std,z_4_last,z_4_slope,z_4_diverge,new_offer,repeat,push,comparison,allowance,end,push_constraint,push_disparagement,push_neutral,comparison_price,comparison_quality,comparison_mixed,buyer_push_rate,buyer_comparison_rate,buyer_allowance_rate,seller_push_rate,seller_comparison_rate,seller_allowance_rate,push_then_comp
30947_51,1,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.9417070952380951,0.47011907277725257,0.583235142857143,-0.03508808701298703,0.23266310000000004,-0.37536747619047617,0.8445329788941706,-1.0471254285714287,-0.07791764675324675,0.2129969,0.8514820476190476,0.7674372320152745,0.23830899999999997,-0.05734078311688311,0.2036172,1.776933142857143,0.6847189146375361,1.262023,-0.035062177922077886,0.2660243000000001,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31047_35,1,111.5,218.0,106.5,106.5,0.0,213.0,2.0,0.0,164.75,1.1045136470588237,0.6554812785881978,0.4706078333333334,-0.07476474019607836,0.20136899999999996,-0.23184370588235292,0.4458909410152197,-0.5710611666666666,-0.05053853431372548,0.14293287500000001,0.9994642352941173,0.7044543251354838,0.4330878333333334,-0.05152261519607839,0.2598917500000001,1.4639464705882352,0.5590253708498527,1.2081691666666665,-0.05629922794117642,0.3094181250000001,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
32573_58,1,23.0,16.5,6.5,6.5,13.0,0.0,2.0,0.0,19.75,1.2098711500000001,0.28521504264559444,1.0197787142857144,-0.019500021804511308,0.17514466666666664,-0.1769756,0.2468130047224011,-0.4638388571428571,-0.027756903759398502,0.09265555555555555,1.0306399499999999,0.2006957869160764,0.8984407142857143,-0.0026793917293233415,0.10541622222222226,2.1187075,0.3655350337961474,2.042077714285714,0.007279276691729292,0.21961377777777785,0.1,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32841_98,1,25.0,58.5,33.5,33.5,67.0,0.0,2.0,0.0,41.75,1.09102315,0.47162627280215513,0.5690531428571428,-0.045111318045112786,0.12694222222222226,-0.13595474999999999,0.3038418247477195,-0.4284037142857143,-0.02851687142857143,0.13076977777777776,0.9555143000000001,0.381298437983135,0.5652909999999999,-0.03230965263157894,0.10285877777777781,1.8407035999999999,0.5663611369525302,1.2974687142857146,-0.038355592481203064,0.166712,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0
34529_22,1,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.1909387647058822,0.5259632904584846,0.6326446666666666,-0.08918497549019602,0.19311024999999998,-0.044886764705882355,0.30822630787077077,-0.40224816666666663,-0.04709727450980391,0.07020124999999999,1.0523798823529413,0.42826150924287015,0.569333,-0.0683767475490196,0.1916463750000001,1.9473137058823529,0.6037828174550695,1.4017338333333333,-0.06458289460784307,0.27723487500000005,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34927_61,1,174.0,100.0,74.0,30.0,64.0,20.0,3.0,0.0,137.0,0.5363845416666667,1.0474791643524457,-0.29582887500000005,-0.089324277826087,0.9221767272727274,-0.4521526249999999,0.6485660374756028,-0.956767625,-0.04893011347826087,0.4745672727272728,0.9244060833333334,0.42946772620828466,0.55190375,-0.03788491391304348,0.29451781818181816,1.488066375,0.8469906135007518,0.7598212499999999,-0.06684539347826093,0.7885144545454547,0.125,0.0,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
38102_74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4150649285714287,3.699545996402877,-2.0911218000000003,-0.298887778021978,4.494571333333333,-1.55939,1.0378182680531967,-0.988091,0.017088835164835177,1.0791528333333333,1.213024857142857,1.4461351608722854,0.8224554,0.029100145054945042,2.185446333333333,-0.46039421428571436,1.3076147717952085,-0.4454232,-0.1250125736263736,1.4907001666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38501_34,0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.42119349999999994,0.5250997843490212,-0.18739139999999999,-0.12045006373626374,0.34607783333333336,-0.5097540714285714,0.3949669866397229,-0.8821434000000001,-0.09009627472527473,0.21459616666666662,0.9389956428571429,0.3228366061930513,0.64816,-0.03727176923076922,0.33994150000000006,1.2225947142857143,0.46690559252429037,0.6740688,-0.08979013186813188,0.3977975,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38517_49,0,20.0,14.0,6.0,6.0,12.0,0.0,2.0,0.0,17.0,0.4267252857142858,0.9372763584343824,-0.5898184,-0.1789480307692308,0.797443,-1.045154,0.8151094995323661,-1.6520854,-0.11634557802197802,0.6928565,0.2865248571428572,0.7011649312025511,-0.4416396000000001,-0.11662652307692305,0.5761901666666667,0.8776508571428571,0.8862730367407812,-0.139626,-0.1590833582417583,0.7488203333333335,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38920_33,1,200.0,50.0,150.0,0.0,150.0,0.0,2.0,0.0,125.0,0.9603133684210529,0.34513520705459905,0.6804321428571429,-0.030152445614035107,0.16567011111111113,-0.35306426315789474,0.27482358922757844,-0.6280608571428571,-0.03909568947368422,0.11888866666666667,0.7511167368421052,0.32048778718557663,0.5385132857142857,-0.024300726315789486,0.11256977777777778,1.7376229473684208,0.5512934676324716,1.4559225714285713,-0.01826718070175443,0.20845599999999995,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.1,0.0,0.1111111111111111,0.0,0.0,0.0
